id,dist_cap_km,taxa_fec,renda_cap,pobreza,pop_ate_25_2000,perc_ate_25_2000,var_pop_ate_25,perc_pop_urb,player
260600,200.0464611,2.62,167.83,51.51,62170,0.5279874988322618,1.050009289128342,0.8784363349157954,0
280240,104.7930547,3.37,67.67,64.87,6566,0.5778403590601073,0.9767926212436775,0.26295872568863854,0
291130,466.1855418,2.9,58.39,68.3,5404,0.5312100658606114,0.8590049276744556,0.48186375700383366,0
312770,236.2321554,2.06,309.18,42.78,121370,0.4911160477641413,0.9546620101625057,0.9553556615722026,1
260630,522.4168425,4.1,67.05,61.8,3483,0.5700490998363339,0.9285523860303919,0.2620294599018003,0
230520,223.6367561,2.53,72.47,63.84,9439,0.5336687962910612,0.893760060600322,0.515746028156273,0
230523,42.76643882,3.0,125.68,47.1,19192,0.5679786919206866,1.736361168913417,0.832258064516129,0
291210,240.3876786,2.29,106.8,52.48,15345,0.5316863587540279,0.8451286005397367,0.6698659090121617,0
260670,154.2633315,2.99,68.96,64.66,3872,0.5205700457112127,0.89921040408732,0.32643183651519225,0
210510,37.93809492,4.36,49.25,65.4,13614,0.6335334357112942,1.034262706070045,0.29187025920238263,0
230540,300.3285366,3.1,86.9,59.87,33784,0.5403624382207578,0.9372988569526135,0.4166120183618304,0
240460,38.16523995,3.71,66.61,62.21,5882,0.573909649721924,1.0490458355626895,0.10957166552834423,0
230570,342.0265253,3.09,83.5,58.17,6129,0.531155212756738,0.9511173184357542,0.5372215963255048,0
150345,166.0573532,4.67,73.5,58.94,16186,0.6438857506563768,1.4377331675253153,0.19854403691622244,0
313150,343.5545048,2.26,318.5,35.29,3954,0.4413931681178835,1.003298655163664,0.7355436481357446,1
431050,371.9836569,2.36,236.36,44.16,4108,0.44410810810810813,0.7795066413662239,0.6043243243243244,0
411080,306.4947911,2.77,159.61,45.26,5624,0.4961623290692545,0.6042114310270735,0.5430966034406705,1
150350,123.3028008,3.23,114.92,47.31,19066,0.6247460515105839,0.9159300538047656,0.19090372894685104,0
352170,256.840348,3.16,167.45,51.77,9352,0.49452699487071017,0.9573139522980858,0.5869599703876051,1
313180,317.7719827,2.26,154.32,47.4,4884,0.497910082577225,0.8559411146161935,0.6641859516770313,1
171050,206.7406235,3.74,103.66,56.41,3759,0.5515774027879677,0.8296181858309424,0.5322083639031548,0
291500,266.5929175,4.05,60.33,64.96,8371,0.5976724261030987,0.914263870685889,0.3894045409110381,0
291510,208.8583712,3.37,86.82,54.6,8425,0.5759108619864652,0.9311450044208665,0.682616720213275,0
210535,334.1380988,4.93,76.32,59.69,8850,0.6633685630762312,1.117283171316753,0.08432651225545311,0
352215,254.6388925,2.86,107.89,57.94,1653,0.5123992560446373,0.8083129584352078,0.6738995660260384,1
352240,232.848487,2.76,245.66,44.35,42425,0.5119711341201458,1.0416922434748448,0.735573093910651,1
420840,511.605908,2.34,275.69,44.28,6639,0.4742820402914702,0.8924586637988977,0.3844834976425204,0
420845,164.5916582,2.48,305.39,43.51,4288,0.48512275144247086,1.9151406878070567,0.926688539427537,0
220510,280.4487131,2.67,109.78,53.53,5625,0.5436358364743404,0.8186581283655945,0.4953126510099546,0
291720,315.3567723,3.45,115.32,47.5,9296,0.5383368079684966,0.9859991514637251,0.25648598563817465,0
291740,471.7283105,2.28,88.6,60.17,6852,0.5068047337278107,0.865588681152097,0.27004437869822484,0
291770,352.6737003,2.32,108.57,60.34,14070,0.5132788559754852,0.759268253197345,0.4881438785933168,0
260805,392.7892652,4.19,108.08,59.56,7300,0.5552175235777305,0.8488372093023255,0.411621539397627,0
240580,73.35012211,3.38,102.79,54.15,16592,0.5672866520787746,1.0608695652173914,0.6823030634573304,0
313657,393.912449,4.13,66.15,63.17,2600,0.6113331765812368,0.9863429438543247,0.4749588525746532,1
